label,label,nuclei_area,nuclei_i,nuclei_j,nuclei_bounds,foci_count,foci_area,nucleus_number_neighbors_1,nucleus_percent_touching_1,nucleus_first_neighbor_distance,nucleus_second_neighbor_distance,nucleus_angle_between_neighbors
141,141,2031.0,1115.3589364844904,1371.0886262924669,"(1092, 1343, 1142, 1401)",1,4,0,0.0,103.36448913563056,124.27715931016536,108.50355829845701
142,142,920.0,1120.333695652174,1039.2945652173912,"(1102, 1025, 1140, 1059)",3,29,0,0.0,59.21249527538856,66.34401169246942,60.66949961882384
143,143,1310.0,1123.973282442748,254.41297709923663,"(1108, 226, 1141, 278)",0,0,1,0.21686746987951808,39.730884364896,57.547070877333724,139.6073529694955
144,144,997.0,1139.7592778335004,184.00300902708125,"(1119, 162, 1159, 205)",1,24,1,0.20496894409937888,35.35416243198882,72.15789114434257,17.041756168850043
145,145,1460.0,1142.4746575342465,219.2527397260274,"(1119, 199, 1165, 240)",5,101,2,0.3953488372093023,35.35416243198882,39.730884364896,147.84163484566525
146,146,1289.0,1155.9006982156711,613.4034134988364,"(1136, 593, 1177, 635)",1,16,0,0.0,50.551169776024835,66.19770504687693,143.64930656791307
147,147,2498.0,1160.244195356285,1203.1897518014412,"(1136, 1168, 1183, 1237)",1,6,1,0.013043478260869565,60.74520623722754,62.007273072726264,88.93099860399204
148,148,1643.0,1164.7230675593426,910.485696895922,"(1138, 886, 1190, 933)",0,0,0,0.0,77.39811848628673,106.13508489896441,86.6830190466162
149,149,1383.0,1154.7353579175706,1521.23571945047,"(1138, 1495, 1174, 1549)",2,25,0,0.0,41.65853062779588,81.34399205986706,32.42682504011411
150,150,1661.0,1175.2396146899457,1144.3245033112582,"(1153, 1118, 1200, 1168)",1,19,1,0.015625,60.74520623722754,85.99033141913172,46.13465398753229
151,151,1475.0,1196.0081355932202,1515.579661016949,"(1175, 1493, 1217, 1539)",1,18,0,0.0,41.65853062779588,51.29989891404187,121.75963893640726
152,152,1394.0,1199.6728837876615,638.6901004304161,"(1179, 615, 1224, 667)",0,0,0,0.0,50.551169776024835,79.74070696653479,165.9324006381495
153,153,1580.0,1197.2746835443038,1308.0487341772152,"(1179, 1282, 1217, 1338)",2,42,0,0.0,94.74409545757132,103.36448913563056,145.56440041080597
154,154,2000.0,1216.838,1468.699,"(1182, 1446, 1246, 1498)",0,0,0,0.0,51.29989891404187,81.34399205986706,25.813536023478626
155,155,2443.0,1209.7912402783463,2384.643061809251,"(1184, 2354, 1236, 2419)",3,28,0,0.0,111.17207842871376,239.1626879164763,10.018408989100775
156,156,1095.0,1206.682191780822,518.4922374429224,"(1185, 504, 1229, 535)",1,7,0,0.0,104.61259638649332,107.6424239276697,73.88576532614866
157,157,1904.0,1202.732668067227,2145.5845588235293,"(1187, 2113, 1224, 2182)",0,0,0,0.0,131.1199263203079,239.1626879164763,8.4819939980588
158,158,4128.0,1233.0651647286822,810.0140503875969,"(1191, 771, 1270, 854)",8,85,0,0.0,64.1270603480106,99.24906755628223,30.197942977629005
159,159,1816.0,1226.5264317180618,1217.933370044053,"(1201, 1194, 1255, 1241)",0,0,0,0.0,67.90220273306542,89.7140059442325,42.59269802225855
160,160,1552.0,1225.8917525773195,2274.6430412371133,"(1201, 2255, 1250, 2296)",0,0,0,0.0,111.17207842871376,131.1199263203079,161.4995970128404
161,161,67.0,1209.7164179104477,1006.6119402985074,"(1206, 1002, 1215, 1012)",0,0,0,0.0,41.448602032263224,95.17050493660396,167.53318445311913
162,162,979.0,1228.6424923391216,1880.3748723186925,"(1210, 1863, 1248, 1895)",1,6,0,0.0,209.780926696168,266.4723190310661,58.912468827598225
163,163,2714.0,1250.7991893883566,1001.117170228445,"(1216, 972, 1282, 1033)",8,127,0,0.0,41.448602032263224,90.31138770117285,156.615793028456
164,164,2383.0,1256.8195551825431,1395.750734368443,"(1231, 1363, 1288, 1426)",4,28,0,0.0,83.18638237997214,106.00581387809127,117.09932732209249
165,165,1009.0,1276.3448959365708,660.5986124876115,"(1260, 642, 1296, 680)",1,16,0,0.0,75.94702712942835,79.74070696653479,139.72316188969674
166,166,1312.0,1296.4771341463415,819.564024390244,"(1282, 790, 1314, 848)",1,6,0,0.0,54.414937225737994,64.1270603480106,113.44868054920421
